,Name,Type,ABV
0,Rad AF,IPA - New England,6.4
1,High Society,Lager - American,4.8
2,Hell Yeah,Wheat Beer - American Pale Wheat,5.2
3,Daydrinker,IPA - New England,6.6
4,Space Dragon,IPA - New England,6
5,Creative Juice,Pale Ale - New England,5.8
6,Book Smart,IPA - New England,6.4
7,Oktoberfest,Märzen,6
8,Strawberry Shortcake Bar,IPA - Milkshake,8.5
9,Rad Hops of Destiny,IPA - New England,7.3
10,Words Are Hard,Bock - Maibock,6.8
11,Mango Tango Dreamwave,Sour - Fruited,6.6
12,Homestead Peach,Cider - Other Fruit,5
13,Pineapple Mango Hard Seltzer,Hard Seltzer,4
14,Crossroads Apfel,Cider - Traditional,7.9
15,Fest Bier,Festbier,5.8
16,This Meeting Could've Been An Email,IPA - Imperial,7.8
17,Sidewalk Surfer,IPA - Imperial,8
