,Name,Type,ABV
0,Hard Way IPA,IPA,7.5
1,Belgian Style Abbey Ale,Ale,7.2
2,Survival Blond,,5.9
3,Operation: Yoga Pants ,,4.8
4,Hazy Way IPA,IPA,6.4
5,Citrus Wheat,Wheat,5.5
6,Martin City Wheat,Wheat,4.1
7,Fireside Porter,,7.5
8,Winter Warmer,Winter Warmer,7.5
9,"Love, Coffee Stout",Stout,6
10,Café Blond,,5.3
11,Lemongrass Saison,Saison,4.7
12,Double Berry Sour,Sour,4.8
13,Curveball,,5.6
14,Hard Ball Wheat IPA,Wheat,6.5
15,Pink Lemonade Ale,Ale,4
16,Irish High Five,Irish,6
17,Donut Stout,Stout,6
18,Fall Back Brown,Brown,5.4
19,Oktoberfest Märzen Lager,Oktoberfest,5.8
20,Pub Ale,Ale,4.8
21,Mocha Stout,Stout,7.5
22,Block Party Lemon Strawberry Ale,Ale,4.7
23,Idle Pale Ale,Ale,4.6
24,Shaka IPA,IPA,5
25,Easy Way IPA,IPA,5.4
26,Coastline IPA,IPA,7
27,Showtime IPA,IPA,6
28,Double Secret Hard Way IPA,IPA,9.1
29,One Hop IPA,IPA,8
30,Radical Candor Double IPA,IPA,8.9
31,Jackpot IPA,IPA,7
32,King Martin,,10.1
33,Hop House Saison,Saison,7.9
34,Bourbon Barrel Abbey,,7.2
35,The Poitier,,9.3
36,Kentucky Friar,,11.8
37,Anniversary Stout,Stout,11
38,Yes Way José with Lime,with,4.7
39,Rich with Love,with,9.5
40,Old Glory Pilsner,Pilsner,5
41,Holiday Apple Ale,Ale,4.8
42,Peanut Butter Porter,,5.5
43,Forgotten Farmhouse Ale,Ale,6.2
44,Yes Way José,,4.7
45,Apple Ale,Ale,4.8
46,Anniversary Abbey,,13
